HUGO symbols,msi.h.1,msi.h.2,msi.h.3,msi.h.4,msi.h.5,msi.h.6,msi.h.7,msi.h.8,msi.h.9,msi.h.10,msi.h.11,msi.h.12,msi.h.13,msi.h.14,msi.h.15,msi.h.16,msi.h.17,msi.h.18,msi.h.19,msi.h.20,msi.h.21,msi.h.22,msi.h.23,msi.h.24,msi.h.25,msi.h.26,msi.h.27,msi.h.28,msi.h.29,msi.h.30,msi.h.31,msi.h.32,msi.h.33,msi.h.34,msi.h.35,msi.h.36,msi.h.37,msi.h.38,msi.h.39,msi.h.40,msi.h.41,msi.h.42,msi.h.43,msi.h.44,msi.h.45,msi.h.46,msi.h.47,msi.h.48,msi.h.49,msi.h.50,msi.h.51,msi.h.52,msi.h.53,msi.h.54,msi.h.55,msi.h.56,msi.h.57,msi.h.58,msi.h.59,msi.h.60,msi.h.61,msi.h.62,msi.h.63,msi.h.64,msi.h.65,msi.h.66,msi.h.67,msi.h.68,msi.h.69,msi.h.70,msi.h.71,msi.h.72,msi.h.73,msi.h.74,msi.h.75,msi.h.76,msi.h.77,msi.h.78,msi.h.79,msi.h.80,msi.h.81,msi.h.82,msi.l.1,msi.l.2,msi.l.3,msi.l.4,msi.l.5,msi.l.6,msi.l.7,msi.l.8,msi.l.9,msi.l.10,msi.l.11,msi.l.12,msi.l.13,msi.l.14,msi.l.15,msi.l.16,msi.l.17,msi.l.18,msi.l.19,msi.l.20,msi.l.21,msi.l.22,msi.l.23,msi.l.24,msi.l.25,msi.l.26,msi.l.27,msi.l.28,msi.l.29,msi.l.30,msi.l.31,msi.l.32,msi.l.33,msi.l.34,msi.l.35,msi.l.36,msi.l.37,msi.l.38,msi.l.39,msi.l.40,msi.l.41,msi.l.42,msi.l.43,msi.l.44,msi.l.45,msi.l.46,msi.l.47,msi.l.48,msi.l.49,msi.l.50,msi.l.51,msi.l.52,msi.l.53,msi.l.54,msi.l.55,msi.l.56,msi.l.57,msi.l.58,msi.l.59,msi.l.60,msi.l.61,msi.l.62,msi.l.63,msi.l.64,msi.l.65,msi.l.66,msi.l.67,msi.l.68,msi.l.69,msi.l.70,msi.l.71,msi.l.72,msi.l.73,msi.l.74,msi.l.75,msi.l.76,msi.l.77,msi.l.78,msi.l.79,msi.l.80,msi.l.81,msi.l.82
ACVRL1,734.9841,1973.2484,480.5195,544.1248,1769.9642,357.9034,366.8313,408.2251,815.6204,1478.2401,385.0528,1091.5842,798.2456,1294.2613,2053.8462,1017.4622,335.1648,2032.1543,840.7355,1056.2789,1106.1323,1016.4474,453.3142,670.3663,1450.2262,998.9095,772.7273,501.6402,327.7188,1113.0856,682.9268,912.6298,1572.7949,599.4152,422.6598,590.2004,663.3257,237.2881,478.7482,2877.9193,614.9228,437.2407,192.0123,436.8601,1471.1741,297.7583,409.9592,1227.9436,902.2895,890.3073,248.734,239.7408,440.9283,2430.6543,361.3799,536.5551,251.8248,1106.0663,519.3026,1769.5783,298.9399,1372.2924,305.9273,898.9842,1358.7105,370.1184,1502.75,924.6167,1265.5615,318.7588,595.1878,1077.0111,777.858,1039.6427,591.2664,1873.7259,1509.7649,3038.2816,265.3981,605.3068,372.6781,1121.7004,4069.5793,938.5274,1191.3876,152.3179,2818.854,2002.2011,834.9797,1221.256,830.0248,1745.0766,877.6913,1803.532,1054.2013,825.6722,2057.0265,2409.3347,1860.3053,1426.1277,902.7864,2490.8638,1930.2375,1746.1548,1469.8134,2452.5917,1413.5472,554.1796,268.623,787.1125,873.4071,1254.5872,3100,1983.6683,1978.9604,1053.442,478.7879,698.0416,595.4907,3130.3289,215.2542,1145.5313,547.2496,909.4066,1010.58,1208.8836,645.0382,450.6792,1116.0457,209.9673,384.1555,2045.352,1419.1837,289.8002,737.5985,791.4474,2010.101,807.3486,931.9058,938.6981,765.6652,366.3793,1317.9936,878.7346,319.1919,599.351,285.2807,489.2171,1391.7652,154.6293,254.5455,1279.0051,1571.5801,409.1848,859.1314,1032.4357,472.4194,4245.7181,1378.6839,1603.9019,1971.5466,1399.5007,1080.6056,1531.4209
ADAP2,313.0245,185.9873,154.6635,179.4247,196.6627,67.1581,86.7823,114.0406,323.7766,453.8498,101.6383,115.099,91.4787,252.7473,179.1209,167.6368,124.7253,109.3248,222.9137,118.5225,186.4444,91.0088,133.4523,142.0644,100.6787,99.2366,114.1002,189.7552,191.524,261.7124,164.3132,202.4221,107.3326,105.2632,110.7504,335.1893,291.1162,223.4206,93.4143,354.5648,205.8319,107.8838,50.6912,114.2921,521.0969,56.5302,141.7468,183.6668,143.4996,27.896,155.9298,136.0691,174.6835,193.101,163.6517,284.1504,279.6533,112.0393,158.1569,21.0843,190.106,296.9314,84.5799,186.7946,172.9358,58.1682,229.0227,446.7632,122.9766,25.3879,386.1034,579.1079,56.6096,218.8721,152.8384,54.9264,104.6432,84.6448,74.1112,228.0265,222.8993,76.7912,45.3074,215.6202,202.1531,29.5466,174.4917,485.1176,216.0929,157.971,138.9578,159.7374,105.8177,78.3664,34.6952,89.3322,61.0998,97.3587,102.2901,193.1806,115.7895,99.6678,102.1158,103.0743,125.1372,152.9709,169.3405,179.5666,37.246,115.5295,181.7232,173.1651,50,90.4523,193.0693,164.8551,130.303,51.3609,22.5464,74.2996,40.678,58.6338,42.7161,113.9822,248.1664,722.6891,14.8431,66.7673,278.0078,157.2712,90.6826,69.8089,27.3469,90.1601,132.5916,116.1184,64.9351,38.7289,117.773,214.0299,91.8455,49.8768,208.0074,55.3603,51.1785,138.3118,54.1613,77.0064,86.0171,64.9061,126.4822,223.2041,115.5885,102.5392,37.3051,86.7246,34.4074,111.9895,138.0702,130.9203,138.5957,119.8203,61.3748,90.5191
APLN,87.9356,285.3503,230.2243,1053.1448,117.9976,406.2244,226.5723,922.4171,89.4711,905.7867,180.7989,211.6337,328.3208,593.4066,90.1099,217.695,456.044,295.8199,297.5955,171.4137,114.3735,172.1491,122.8609,153.1632,125.5656,99.2366,247.6809,387.5852,151.0912,138.9338,808.7291,405.7093,166.8438,330.4094,343.5523,144.7661,52.8474,172.5732,94.8739,69.0021,66.8954,102.6971,433.1797,99.6513,83.3755,362.0858,140.6929,373.0185,525.3475,462.4113,93.2752,604.7516,181.8565,310.4552,464.8717,170.178,32.3905,328.4036,311.9552,242.4699,89.7527,205.7762,191.6545,173.2506,157.5747,352.2927,206.4589,72.8279,311.7715,274.0278,714.6646,182.2341,114.617,75.9352,21.8341,405.436,143.3551,165.0362,264.8973,272.3881,49.14,66.5067,55.0162,223.5031,210.5263,142.1294,1580.4067,1839.456,156.8951,25.6039,140.1985,178.337,367.3843,78.3664,180.1483,152.6453,193.4827,64.5148,142.7481,271.1022,309.5975,313.9535,120.7955,140.4864,169.045,31.6056,122.9947,130.031,112.8668,141.4427,132.8851,45.8716,1475,325.3769,675.7426,214.6739,133.3333,112.0602,110.0796,26.7966,138.9831,219.334,66.0891,178.9398,92.7331,245.4982,89.4826,188.9372,144.5239,95.9967,308.9188,138.193,158.7755,56.0659,49.1423,267.4342,116.8831,76.4647,58.6724,120.9185,169.0987,211.8227,92.4988,100.6151,194.3883,95.7543,160.1494,43.3565,226.6612,411.0722,141.8972,174.7668,308.0594,267.7682,300.6682,107.7175,73.7302,7.2464,992.7331,99.0887,434.603,97.4538,55.2373,15.1426
BANK1,153.5592,19.1083,9.4451,85.8118,16.6865,35.217,14.5419,20.6888,4.4488,83.692,8.307,71.7822,72.6817,64.7131,61.5385,86.1467,3.2967,16.0772,138.0481,67.5617,36.0355,64.693,85.7908,25.5272,59.9548,87.241,74.2115,11.1027,6.3841,77.5444,14.1207,51.0381,10.627,52.6316,9.0409,26.7261,24.1458,6.1633,11.6768,5.3079,47.1698,70.0207,1.0241,65.6471,138.5109,23.3918,15.8082,92.2707,15.1267,98.818,11.3061,12.959,179.7468,5.6899,3.3656,8.8472,143.7044,25.7139,36.7372,88.8554,45.2297,84.3863,9.4478,150.1129,63.9218,3.7528,47.384,558.3475,149.5349,35.0594,90.9254,72.4361,25.8587,34.6175,53.2751,10.7588,30.2437,2.5521,6.009,28.1924,35.3808,110.7302,3.2362,25.0398,55.0239,59.6026,347.5046,13.718,17.8008,120.7729,71.9603,24.07,133.3028,24.2826,13.3443,53.7728,6.11,95.0127,9.1603,30.844,27.8638,40.6977,84.6814,10.6892,28.5401,290.7712,34.7594,44.8916,50.7901,41.0292,44.295,43.578,0,17.5879,50.7426,72.4638,6.0606,106.2237,0,21.9245,5.0847,24.9737,24.1789,122.153,50.0548,318.7275,36.4716,66.057,765.2741,93.5458,41.8535,28.9683,13.0612,104.9342,19.9351,18.4211,31.746,11.9166,17.9872,116.284,30.9013,24.0148,104.4639,86.9947,20.202,8.2751,20.077,8.4125,44.0277,0.9545,7.5099,36.0007,45.5992,50.0547,18.931,28.9082,12.5614,44.7958,18.9746,122.1923,40.3855,23.5647,13.9116,22.8821
BCL6B,320.2431,94.2675,345.9268,545.5875,67.938,58.1491,29.0838,82.2505,112.7039,312.769,103.5929,85.396,93.985,63.4921,62.6374,207.2177,100.5495,48.2315,134.6535,80.3019,79.9047,116.2281,66.7262,95.4495,197.9638,55.6161,115.9555,199.8486,87.2498,159.9354,367.1374,192.9066,125.3985,225.1462,140.1332,142.539,342.5968,98.6133,64.2223,52.017,144.0823,116.7012,56.3236,130.3496,256.8503,106.2378,77.4602,145.1842,81.3573,63.357,74.4318,80.9935,188.1857,161.0953,120.7404,111.8907,53.8321,118.6514,119.5517,40.6627,114.4876,437.7256,81.4307,213.3183,68.877,188.1084,160.7672,355.1959,192.8365,113.6409,300.8883,656.5002,99.2415,395.3099,39.3013,111.5515,30.2437,70.1829,108.1622,152.5705,139.1646,26.7398,30.7443,178.9879,224.8804,106.9791,487.9852,673.428,254.5922,11.5942,126.5509,101.7505,99.4045,49.6689,58.715,124.8916,38.6965,57.4768,93.1298,77.9216,68.1115,108.804,128.2674,39.7027,85.6202,26.5487,132.7986,170.2786,49.6614,88.5367,70.4177,113.5321,25,152.0101,268.5644,408.5145,87.8788,73.5395,29.1777,36.5408,15.2542,100.9805,60.4473,158.1044,256.5967,630.2521,47.0738,68.1879,315.6442,47.7941,100.1495,123.4714,41.2245,78.0377,324.5248,164.4737,91.8711,52.6316,84.7966,291.1312,131.3305,49.2611,186.3783,45.2548,98.3165,296.7201,132.1349,66.0055,46.066,56.3156,113.834,293.2417,96.5005,87.4742,90.2004,93.2634,33.3151,34.9144,211.9499,338.8525,135.3832,81.4778,54.8282,60.9069
BMP6,82.0229,35.3631,15.6789,27.0697,25.888,18.9681,16.9859,22.8182,19.9357,109.2779,30.9362,42.7351,23.3083,53.6264,20.3187,76.1467,68.3571,41.8328,45.1485,87.6526,48.6636,73.0373,20.5686,23.1077,77.9525,31.3413,45.8071,46.4598,13.3216,70.21,34.3646,43.7976,21.1796,11.9006,23.1333,22.7283,110.1048,7.9507,8.889,30.2017,16.0549,21.4575,11.2954,35.9737,68.7444,24.0497,18.0213,42.9868,21.3614,56.1229,17.0392,32.0032,34.3671,34.3777,32.9996,22.987,22.9745,29.92,55.0311,76.8373,23.5406,144.815,20.7941,40.4007,40.8951,31.0965,28.2443,98.6329,60.2239,17.5499,45.0234,165.8292,32.9174,166.8956,8.7598,18.7769,54.8923,14.1897,20.1202,46.4428,38.3332,17.2026,24.288,33.4884,62.2368,28.7163,102.61,44.334,53.3319,174.9565,29.0695,42.5492,12.0797,31.7881,13.4778,43.3044,12.2607,48.2923,23.5954,26.3472,105.6409,41.5365,34.2586,387.6204,75.4336,95.5752,40.41,35.0155,22.3476,20.9249,21.0231,24.7248,25,15.7915,34.1832,76.9565,12.2727,20.1708,1.3395,11.4495,7.1017,10.4238,19.6575,34.1375,64.6286,713.8475,15.3393,21.7029,257.659,25.1471,46.8311,47.2041,2.4694,32.8137,33.9638,26.8322,34.3146,17.3585,29.6403,69.2732,45.0172,34.6675,75.9043,15.8524,37.0595,55.1001,58.0693,9.8005,19.8655,18.5937,7.996,14.4264,59.1092,38.6101,113.3686,34.5522,30.2403,41.693,64.998,105.5834,31.3171,41.2581,5.7529,10.795
BMX,21.6558,10.1911,3.5419,5.3632,7.1514,4.914,1.4073,0.5046,4.9432,13.869,2.9319,3.7129,17.5439,18.315,39.5604,15.1339,7.6923,0,11.3154,7.7213,6.267,27.4123,4.2366,1.1099,14.7059,10.9051,4.6382,26.2427,53.2011,16.1551,57.7664,7.7855,4.2508,5.848,30.5129,11.1359,10.4784,3.0817,2.9192,7.431,22.2985,17.6349,2.0481,5.6674,8.0686,2.924,1.5808,8.3087,4.0883,37.3522,6.1241,9.7192,5.0633,1.7781,5.0484,18.2148,9.5803,5.1428,4.9813,15.0602,18.3746,312.7256,8.548,11.851,2.4776,3.2837,3.9487,23.8501,10.9697,6.0447,10.5421,43.0804,4.1933,93.8023,1.7467,0.5663,1.8146,0.8507,3.5053,55.9701,2.7518,9.9417,0,13.4473,205.7416,4.0754,52.1257,33.0479,9.9353,288.4058,6.2035,76.5864,45.3504,7.7263,1.3344,6.9384,2.0367,442.2197,12.2137,73.8632,8.0495,14.1196,393.5194,9.1622,16.4654,50.5689,7.1301,4.644,5.6433,15.116,1.1358,17.2018,0,5.0251,33.4158,14.4928,3.0303,47.859,18.5676,65.7734,1.6949,2.1716,37.0744,9.8049,44.259,49.8199,5.5131,1.7757,52.1892,2.451,12.9547,9.4978,0.8163,4.1671,6.0269,13.1579,66.8591,2.9791,5.1392,34.9695,14.5923,6.1576,37.7358,2.1968,8.9787,0.5911,24.2792,0.6471,0.4077,1.909,0.3953,19.6367,2.1209,1.4579,6.6815,8.9478,0.5461,23.7154,3.2297,88.307,35.3373,36.7449,34.7791,4.711
CA4,0,3.8217,2.3613,3.9005,61.9785,462.7355,258.9398,3.0276,0,0,21.9891,617.5743,31.3283,654.4567,26.3736,243.3062,2.1978,321.5434,282.8854,704.1859,10.9673,411.1842,34.9518,1.1099,1071.267,1138.4951,59.3692,6.056,0,6.462,7.7022,9.5156,467.5877,599.4152,25.9924,1.1136,0,3.0817,0,64.7558,7.7187,1.0373,2.5602,0.4723,1.3448,0,3.6886,0.4373,15.9444,0.9456,0,0,760.3376,2.1337,0.8414,0,0,19.1018,47.3225,1.506,0,21.6606,8.548,0,25.2714,2.3455,103.2294,22.9983,0.5774,0,0.4393,1.9062,0.6989,8.3752,2.6201,120.6116,56.2533,14.8873,4.5068,131.8408,0,66.8495,17.7994,8.3466,7.177,1.0188,1801.8484,1.2471,20.2846,1.9324,300.2481,966.0832,98.0302,1637.9691,152.1252,219.4276,140.5295,28.1519,353.4351,338.472,1294.7368,906.9767,21.1703,70.2432,1642.1515,37.9267,21.3904,453.5604,160.2709,342.2698,0,1471.3303,1500,492.4623,2.4752,12.6812,224.2424,755.239,234.748,97.4421,38.9831,91.2082,1.6119,366.459,3.6882,106.8427,177.2689,82.3937,213.2731,45.3431,2.9895,236.0204,2.0408,0,1.8544,500,14.43,78.4508,40.257,124.7103,4.2918,0,0,3.0756,2.2447,67.3827,0,1.2942,4.0766,0.6363,183.3992,0,19.6182,65.1197,1.6704,2.7532,35.4997,2163.3729,0,769.0925,0.4589,264.004,669.3944,0.673
CD160,13.781,17.8344,11.8064,9.7513,7.1514,3.276,8.4437,2.0184,20.2669,3.3477,3.4205,3.7129,13.7845,4.884,18.6813,6.9849,5.4945,6.4309,35.0778,20.4615,6.267,13.1579,47.6615,25.5272,9.0498,7.6336,4.6382,10.0934,19.1524,12.9241,2.5674,6.0554,13.8151,11.6959,6.7806,124.7216,16.8565,44.6841,7.298,19.1083,6.0034,7.7801,5.6324,4.2505,8.741,12.1832,3.1616,11.8071,7.359,0.9456,7.0663,13.4989,2.5316,9.6017,4.207,26.0211,5.0182,1.102,15.5666,7.5301,5.6537,4.9639,10.3475,3.386,23.7849,6.0983,4.5128,23.8501,12.1244,2.0149,13.6168,7.2436,5.5911,11.7253,4.3668,5.6625,7.8634,7.6563,3.5053,15.34,18.0835,20.9119,8.0906,6.9555,0,2.5471,37.7079,8.1061,5.3816,24.1546,23.5732,6.5646,5.497,20.9713,5.3377,11.2749,10.1833,10.557,6.8702,7.3052,8.6687,17.4419,3.7359,6.1081,7.6839,6.3211,11.5865,7.7399,2.2573,18.3552,10.2219,12.6147,0,7.5377,2.4752,14.4928,21.2121,5.8365,3.9788,6.0901,0,4.3432,8.0596,3.6768,10.5379,27.611,4.2409,12.7852,23.0837,6.5359,3.4878,4.274,5.7143,6.8188,3.7089,4.2763,6.734,2.9791,17.1306,4.2132,2.5751,6.7734,2.7612,5.2724,5.3872,4.1375,6.0698,3.5591,13.4529,1.5908,6.3241,5.2365,6.8929,14.579,5.0111,4.4739,2.7307,38.8669,6.8631,12.8353,11.9321,5.5916,4.91,4.711
CD19,27.5619,16.5605,7.0838,31.6919,11.919,7.371,15.4801,2.523,7.4147,5.2606,5.8637,2.4752,18.797,24.42,10.989,30.2678,1.6484,16.0772,23.7624,44.3977,26.6349,23.0263,37.0701,4.4395,21.4932,23.9913,5.5659,10.0934,0,58.1583,1.2837,5.1903,9.5643,55.5556,3.3903,56.7929,50.1139,9.245,32.1112,25.4777,7.7187,29.5643,0,12.2793,43.7049,3.4113,25.8201,57.7238,4.906,0,2.3554,0,59.0717,2.4893,0.4207,8.3268,0,2.2041,0.6227,1.506,0,18.9531,1.7996,9.0293,19.3252,0,9.0255,361.1584,126.4407,0.403,12.7383,32.7869,3.4944,7.8169,0,6.795,53.8338,4.6789,2.003,18.2421,3.5381,209.119,4.8544,5.5644,16.7464,0,339.7412,4.3648,9.1074,16.9082,6.2035,7.6586,9.1617,2.2075,9.341,12.1422,6.11,22.2869,13.7405,13.7986,19.8142,19.9336,12.4531,3.8176,18.6608,63.2111,27.6292,21.6718,10.158,0,10.2219,21.789,275,11.3065,2.4752,3.6232,6.0606,4.6692,5.305,2.4361,1.6949,1.0858,16.1193,15.1159,4.2151,213.6855,2.1204,17.4021,872.1616,1.634,2.4913,13.7718,17.9592,5.3035,5.0997,4.2763,4.329,21.8471,3.8544,29.9136,0.8584,0.6158,67.6484,1.7575,0,84.5239,2.3345,19.0898,0.8153,1.5908,8.3004,1.3091,49.8409,56.8582,1.1136,2.7532,2.1846,63.8999,6.8631,60.0693,14.2267,30.7539,4.5008,0.3365
