HUGO_symbols,TCGA-AG-A02N-01A-11R-A083-07,TCGA-DC-6154-01A-31R-1928-07,TCGA-EI-6507-01A-11R-1736-07,TCGA-EI-6882-01A-11R-1928-07
ACVRL1,864.3625,533.0495,375.7709,2100.0572
ADAP2,113.8542,111.1229,369.6035,134.3625
APLN,39.5004,111.1229,297.3568,216.6953
BANK1,52.28,5.9606,18.0617,77.7587
BCL6B,205.6346,237.5732,414.5374,60.6061
BMP6,15.9164,158.1565,603.185,35.4946
BMX,67.3831,0.4258,11.8943,6.8611
CA4,10.456,0.4258,3.9648,356.2035
CD160,11.6178,5.5349,12.3348,12.5786
CD19,9.2942,3.4061,3.9648,6.8611
CD1A,1.1618,0.4258,0.4405,0.5718
CD1B,2.9161,0,0.8811,9.1481
CD1E,2.8928,1.703,2.6432,1.1435
CD22,15.1031,14.9015,20.7048,20.0114
CD28,36.0151,13.1985,31.7181,28.5878
CD3D,128.9573,13.1985,110.1322,42.8816
CD3G,18.5884,1.2773,45.3744,23.442
CD5,82.4862,37.041,85.4626,96.0549
CD6,97.5893,62.5865,204.4053,89.7656
CD79A,53.4418,7.6637,69.163,156.6609
CD8A,117.3395,22.1394,487.6652,109.2053
CD8B,65.9657,28.9516,81.4978,95.4831
CDH5,350.8568,414.2629,490.7489,528.3019
CEACAM3,55.7653,1.703,24.2291,5.7176
CLEC10A,6.9707,14.05,19.8238,7.4328
CLEC14A,48.7947,183.0761,138.326,141.2236
CLIC2,46.4711,52.794,78.4141,87.4786
COL1A1,5590.4734,35267.6956,139163.4361,21741.5666
COL3A1,4455.4168,24421.5008,110098.6784,19184.1052
COL6A1,808.5972,1607.6637,11464.3172,3429.3882
COL6A2,1002.614,2810.4311,17644.4934,3516.8668
CR2,11.6178,0,94.7137,27.4443
CSF1R,285.7973,325.2794,1281.4978,472.2699
CTLA4,47.6329,7.2379,55.0661,27.4443
CXCR1,2.3236,14.05,96.0352,43.4534
CXCR2,6.9707,22.991,66.5198,53.745
CXorf36,44.1475,156.6791,127.3128,114.9228
CYP4F3,240.4879,358.9143,131.2775,19.4397
DCN,599.4772,1673.6562,7831.7181,1926.8153
EDN1,550.6825,1810.3246,155.5066,128.6449
ELTD1,61.5742,157.1048,259.0308,244.7113
EMCN,26.7209,86.0032,27.7533,54.3168
EOMES,37.1769,3.4061,84.5815,26.3007
ESAM,310.2411,442.363,285.022,424.8142
ESM1,56.9271,195.4231,213.6564,126.3579
FAM124B,1.1618,14.05,8.37,9.1481
FCGR3B,74.3538,40.0213,227.3128,108.6335
FCRL2,3.4853,0,2.6432,10.2916
FGFBP2,1.1618,0.4258,2.6432,3.4305
FLT3LG,33.6915,32.3576,74.0088,36.5923
FPR3,147.5457,279.2975,689.4273,269.8685
GNLY,327.6213,177.1155,195.5947,144.0823
GREM1,479.8141,272.0596,3011.0132,432.247
HAL,6.9707,10.644,14.0969,5.1458
HECW2,152.1929,131.1336,365.1982,147.5129
HHIP,2.3236,86.0032,7.489,21.7267
ICOS,19.7502,4.2576,30.3965,20.0114
KCNJ15,1.1618,14.4758,117.1806,19.4397
KDR,103.3982,389.9947,436.1233,514.5798
KIR2DL1,11.6178,1.703,0.8502,14.1509
KIR2DL3,4.6471,2.1288,1.793,8.7193
KIR2DL4,16.2649,3.8318,11.4537,13.1504
KIR3DL1,13.8135,0,0.6476,2.6758
KLRC3,6.0064,0,2.6432,4.6884
KLRC4,13.9413,0,0,1.7153
KLRD1,27.8827,3.4061,59.9119,22.8702
KYNU,130.1191,31.0804,214.0969,64.0366
MAL,6.9707,2.5546,2.2026,4.0023
MEGF9,328.783,252.049,640.5286,381.9325
MMRN1,9.2942,34.0607,6.6079,145.7976
MMRN2,76.6773,229.058,245.3744,224.1281
MS4A1,16.2649,1.703,3.0837,26.3007
MYCT1,18.5884,86.429,36.1233,55.4603
NCR1,0,2.1288,2.2026,1.7153
PALMD,20.912,49.388,52.8634,49.171
PAMR1,31.368,39.5955,81.0573,81.1893
PAX5,69.7067,0,18.0617,40.5946
PBX4,61.5742,50.6652,53.7445,33.7336
PEAR1,120.8249,78.3395,403.5242,197.2556
PGF,79.0009,303.9915,106.1674,67.4671
PLA2G7,92.9422,63.438,179.2952,207.5472
PLXNA2,657.5661,1073.3369,1000,2133.7907
PTGDR,123.1484,1.2773,7.0485,33.7336
PTPRB,978.6001,687.5998,452.4097,1052.6015
RASSF4,684.287,418.0947,545.815,285.3059
ROBO4,72.0302,231.6126,208.8106,221.2693
SDPR,29.0444,121.7669,46.2555,110.3488
SH2D1B,4.6471,5.9606,2.2026,14.2939
SHANK3,284.6355,295.4763,746.2555,232.7044
SHE,20.912,58.3289,47.1366,85.1915
SIRPG,67.3831,7.6637,69.6035,20.5832
SLC25A37,796.9794,235.8701,1060.3524,665.5232
STEAP4,27.8827,60.8834,248.8987,58.319
TAGLN,593.6683,6763.5977,6237.0793,1069.7541
TECPR2,363.6364,502.8206,824.2291,463.6935
TEK,22.0738,81.7456,55.9471,105.7747
TFEC,44.1475,29.8031,103.5242,57.7473
THEMIS,8.1324,5.5349,49.3392,20.5832
TIE1,49.9564,352.5279,218.9427,160.6632
TLE3,1155.9686,962.2139,2393.3921,2329.9028
TNFRSF10C,17.4267,49.388,67.8414,75.4717
TNFRSF25,225.3848,183.5019,186.7841,85.1915
TRAT1,15.1031,4.6833,18.5022,24.0137
VEPH1,0,2.1288,33.4802,22.2985
VNN3,0,2.5546,35.6828,5.7176
VWF,541.3883,59.6062,3137.8855,2622.0698
