HUGO_symbols,TCGA-AF-3911-01A-01R-1736-07,TCGA-AG-3583-01A-01R-0821-07,TCGA-AG-3592-01A-02R-1736-07,TCGA-AG-3601-01A-01R-0826-07,TCGA-AG-3731-01A-11R-1736-07,TCGA-AG-4001-01A-02R-1119-07,TCGA-AG-4007-01A-01R-1119-07,TCGA-AH-6549-01A-11R-1830-07,TCGA-AH-6644-01A-21R-1830-07,TCGA-AH-6897-01A-11R-1928-07,TCGA-DY-A1DD-01A-21R-A155-07,TCGA-DY-A1DF-01A-11R-A155-07,TCGA-EI-6510-01A-11R-1736-07,TCGA-EI-7002-01A-11R-1928-07,TCGA-F5-6571-01A-12R-1830-07,TCGA-F5-6811-01A-11R-1830-07,TCGA-F5-6863-01A-11R-1928-07,TCGA-F5-6864-01A-11R-1928-07,TCGA-G5-6233-01A-11R-1736-07
ACVRL1,1837.2871,1713.3183,1566.4851,1091.0619,1919.1436,2300.286,1239.759,1403.7495,872.8661,1110.8833,407.6854,676.7241,2654.8635,1911.9941,971.4623,1584.5865,758.3643,1240.3482,1054.7358
ADAP2,91.1353,91.4221,99.968,70.125,282.1371,163.0124,150.6024,130.1955,119.9461,40.4277,38.064,63.4236,46.0751,125.1392,189.4753,145.6767,42.7509,205.5261,126.1304
APLN,283.3478,409.7065,360.4614,206.2499,195.3551,221.163,108.4337,322.2976,144.6541,291.7826,102.6726,59.1133,63.5666,61.6413,28.1001,70.9586,86.2454,47.3126,344.1218
BANK1,11.599,76.7494,11.5348,2.0625,76.4599,29.552,46.988,36.3781,77.7179,7.0309,5.0084,38.7931,121.1604,47.5306,26.093,54.5113,7.4349,18.1681,7.6154
BCL6B,113.0077,66.5914,132.3294,143.3437,477.8744,249.7617,178.3133,179.657,356.6936,69.7232,75.1263,136.0837,44.7952,99.8886,206.3354,94.4549,102.2305,294.0954,256.0685
BMP6,38.6811,19.3905,18.0263,6.435,132.6044,45.7865,60.1928,84.9334,53.8185,5.8708,79.0279,32.2044,35.2432,31.9495,32.2911,34.6805,54.5316,40.2385,51.9134
BMX,8.6164,51.9187,1.6021,6.1875,43.9644,6.673,7.2289,6.3821,3367.9245,0.5859,7.5126,5.5419,23.0375,3.7133,4.8172,3.2895,32.7138,10.2195,4.7596
CA4,201.1604,1102.7088,105.0945,125.8124,68.8139,16.2059,450.6024,11.1687,5.3908,45.115,4.0067,6.7734,4.2662,0.3713,23.6844,168.2331,2.974,18.5466,573.0604
CD160,3.9768,6.772,5.1266,2.0625,4.2053,4.7664,0,8.935,5.3908,1.7577,9.0152,14.7783,5.1195,7.4267,12.8458,6.109,11.5242,4.1635,10.9472
CD19,1.3256,16.93,5.447,1.0312,56.198,11.4395,18.0723,1.9146,13.4771,3.5155,0,0.6158,21.7577,5.1987,4.8172,7.5188,0.3717,6.056,2.8558
CD1A,6.2966,4.5147,4.8062,4.125,9.1752,30.5052,21.6867,3.5102,8.5355,1.7577,5.5093,2.4631,16.2116,24.508,69.4475,7.0489,18.2156,7.9485,4.7596
CD1B,3.6454,10.158,1.6021,2.0625,1.9115,3.8132,6.0241,0.9573,2.6954,0.5859,0,0.6158,0.8532,4.0847,61.4189,5.1692,0.7435,5.299,1.9039
CD1E,10.9362,3.386,2.2429,6.1875,8.0283,21.9256,7.2289,2.5529,3.5939,1.1718,3.0051,2.4631,13.6519,21.5373,136.4864,7.9887,11.5242,25.7381,1.4279
