"","A1BG.1","A1CF.29974","A2BP1.54715","A2LD1.87769","A2ML1.144568","A2M.2","A4GALT.53947","A4GNT.51146","AAA1.404744","AAAS.8086","AACSL.729522","AACS.65985","AADAC.13","AADAT.51166","AAGAB.79719","AAK1.22848","AAMP.14","AANAT.15","AARS2.57505","AARSD1.80755","AARS.16","AASDHPPT.60496","AASDH.132949","AASS.10157","AATF.26574","AATK.9625","ABAT.18","ABCA10.10349","ABCA11P.79963","ABCA12.26154","ABCA13.154664","ABCA17P.650655","ABCA1.19","ABCA2.20","ABCA3.21","ABCA4.24","ABCA5.23461","ABCA6.23460","ABCA7.10347","ABCA8.10351","ABCA9.10350","ABCB10.23456","ABCB11.8647","ABCB1.5243","ABCB4.5244","ABCB5.340273"
"A1BG.1",1,0.178507879370433,-0.082069357808183,-0.25843376602859,-0.0244627111013978,0.150774912885611,0.723656775763574,0.130766161855191,0.626621029939946,0.160236419221591,0.720776585540029,0.161972795569946,0.114603740108345,0.0660233356014092,0.0537046411439901,0.00951297899671726,0.270336770516748,0.016520026912574,0.354793945348441,-0.129080361392151,0.48286272920965,0.314707766175497,0.166796576000173,0.180269140140278,-0.0901242601172391,0.294029899117787,0.237712837307272,0.0690288668168441,0.359112017008658,-0.173257797434734,0.224054673557654,0.529162713352414,0.279323188850779,0.582003555478341,0.402090823571636,0.0805602981419489,0.126648457950348,0.149818558512539,0.447797862844429,0.117558879687461,0.25498909147853,0.0853829817677711,0.0747151802413529,-0.149016436654646,-0.167879763495233,-0.116776605749152
"A1CF.29974",0.178507879370433,1,0.450793036891103,0.163653262948035,-0.0101283036700396,0.181920351519868,-0.0763892629815546,-0.389286095851401,-0.133950429277662,0.464394530990634,-0.295589945477856,0.116760568025045,0.566354177702608,-0.0552926766389748,0.439802580638771,0.552599664693545,0.660982069477376,-0.159637782893603,0.399154539498343,0.374950791859629,0.354316595623936,0.362819475916334,0.319074441267369,-0.286916754357535,0.449291960694233,0.0197864566273226,0.462891661772789,-0.137658984115478,0.189120862462719,-0.0755897010811488,0.29075077461534,-0.400393373859359,-0.0206467938772723,-0.188042320147684,-0.28278738655974,-0.281586386146605,-0.16155191122666,0.0410525463911232,0.0788346092850686,0.0519350463425205,0.0315715957071416,0.418100612829669,-0.356432626000446,0.0430821716414734,0.21436786286157,0.0362380847618273
"A2BP1.54715",-0.082069357808183,0.450793036891103,1,0.352763156608354,-0.143431617545765,0.0643467405343759,0.182304652666866,0.113031065606567,-0.281804699142821,-0.0278379854115529,-0.142315671037256,-0.284862329769481,0.294374418217965,0.0202123144602412,0.479257160864997,0.580205573464079,-0.0514404422590353,-0.0376213766766435,0.124982486853449,-0.0724486660689194,0.0282741337939026,0.0584524350096229,0.143660906530163,-0.238451894297026,0.0446816579277877,-0.27862624395976,0.106638751749622,0.035369039048625,-0.130581327425017,-0.0684949632385942,0.539309177160675,-0.188820098079556,0.0472686586991203,-0.294174058137087,-0.144714128142815,-0.164191802404351,-0.358899799070818,0.157978827706769,-0.300249150783751,0.0639037568918804,0.0792235314480342,0.361973284117558,-0.270893865787074,0.0579842201680878,0.197034891999673,0.422293119047467
"A2LD1.87769",-0.25843376602859,0.163653262948035,0.352763156608354,1,0.0967618940728647,-0.306975391982224,-0.20396070234553,-0.114017390777741,-0.252138806220075,-0.114001837422918,-0.201837950598761,-0.1784209192222,-0.10182098772153,0.0195177538926646,0.250017087554245,0.343845200562553,-0.318988469536798,-0.341114285231443,-0.338049916953369,-0.260914227278014,-0.414929534418819,-0.235743572883102,0.050334664515094,-0.220094565745024,-0.166633406997076,0.157110684718702,-0.119715799078039,-0.183830345067171,-0.561474175687527,0.416186618561995,0.105496417618823,-0.28894774795156,-0.0742193484287048,-0.274329810442073,-0.122433799677717,0.23706131664878,-0.24249931078468,-0.0905637447446239,-0.024549939346464,-0.160765700443071,-0.208800971167431,0.525626367407151,-0.148389920200813,-0.464511520783261,-0.263065281378171,0.203697584875413
"A2ML1.144568",-0.0244627111013978,-0.0101283036700396,-0.143431617545765,0.0967618940728647,1,0.60320022991294,0.302918111742602,0.134335649616024,-0.100747550648794,0.0291754289168598,-0.08137129631097,0.0276332288825202,-0.123452169942434,0.657032489462465,0.218600339887665,0.188786244173098,0.00898447052821294,-0.305961765089009,0.075312424516332,-0.0338644350010715,-0.114642415710793,0.237685741006634,0.522808611932796,-0.0415359537830494,0.127562422119979,0.0217715499327053,-0.183175963294893,-0.267716739091282,-0.315193638544771,-0.0656480568206042,-0.148324784012537,-0.147753912444507,0.338338402379204,-0.0629649355095508,0.684800376087616,-0.116338353951185,-0.16075893254746,0.447618597655165,0.235244679400414,0.498294886272849,0.089729947478036,0.228962802090139,0.156886682970471,0.0498836411923408,0.0260315841639484,0.562399059852489
"A2M.2",0.150774912885611,0.181920351519868,0.0643467405343759,-0.306975391982224,0.60320022991294,1,0.425288647965328,0.334801961519217,0.0170691941845099,0.21085400321812,-0.131653360165917,0.240058627076527,0.06765673696869,0.457720784979524,0.197175387134448,0.234314131678966,0.210583409121062,0.212216020315693,0.491765142938194,0.160851081392608,0.153051006474695,0.500991769577934,0.636886794683174,-0.0800590546062595,0.382551129290186,0.0215067086730068,-0.00599156077315727,0.091964611088802,0.144209724083336,-0.287465856613728,-0.0766631667860495,-0.259936412990709,0.553831017838665,-0.0537915633229872,0.359533923271875,-0.265822801762048,0.14418779090938,0.793357210754894,0.277797600633539,0.91825278552698,0.593477441201463,0.315294161277859,0.0951419070888631,0.3963119318462,0.268567186745506,0.509915163014648
"A4GALT.53947",0.723656775763574,-0.0763892629815546,0.182304652666866,-0.20396070234553,0.302918111742602,0.425288647965328,1,0.410871074437471,0.462329694130665,-0.0402181666014238,0.696650499811273,-0.021250663588265,0.0593441790679177,0.320435081330117,0.0777975393050743,0.13323313991557,-0.0697644722141373,-0.0647846809444875,0.306238317679829,-0.274051583189341,0.245723670228572,0.257440443780327,0.293798268603681,0.122419014062921,-0.139505441773197,0.104604688418949,-0.0805799942542393,0.0340801160739793,0.2077233787126,-0.338095570008995,0.164498661797521,0.472603704580418,0.522086315389362,0.359208342545155,0.642571092044651,-0.0414594534928837,-0.0632810598416377,0.399795269329303,0.212580318353291,0.354624072268909,0.323903405669298,0.0872562534369709,0.232537255332661,0.119651826727078,0.0666901363993035,0.402285811437723
"A4GNT.51146",0.130766161855191,-0.389286095851401,0.113031065606567,-0.114017390777741,0.134335649616024,0.334801961519217,0.410871074437471,1,-0.0857677125195097,-0.439902037892333,0.15228489628831,-0.37594231914645,-0.134267711816302,-0.0570347347140976,-0.244752850112511,-0.00554914913321048,-0.423632147497212,0.280505364895301,-0.274386196464702,-0.446881788739795,-0.204256884042454,-0.0959224788138718,0.038874710255148,0.328356909250789,-0.189467737303397,0.271822874486014,0.0577079814607875,0.645145496716114,-0.161159556157267,-0.166392629482845,-0.109459629931861,0.20864128490272,0.414079665180293,0.109273121730139,0.240672301039365,-0.134764606382743,0.511071920717239,0.693985355732898,0.163973830207895,0.434077863946466,0.671427445853595,-0.039609404846969,0.0854782034437439,-0.000435062963504651,0.036880532241486,0.546020628015092
"AAA1.404744",0.626621029939946,-0.133950429277662,-0.281804699142821,-0.252138806220075,-0.100747550648794,0.0170691941845099,0.462329694130665,-0.0857677125195097,1,-0.0896748430265355,0.635448161177643,0.19432968831729,0.0893082935299154,0.095319968813561,-0.157741255790078,-0.282365328351122,-0.0737418777011604,-0.041322733912628,0.140975553056468,0.0890887330853405,0.151247727425718,0.219065936153345,-0.0599758346835834,0.00932862822283416,-0.0488507125483356,-0.101499891827061,-0.202864601465137,-0.283200540683058,0.153575914277405,-0.0787651595425069,0.00786241439938522,0.247780079059045,0.302314644394951,0.226062701748325,0.173794113888477,0.521900721193071,-0.0141008967996725,-0.0586442128207051,0.109486800273494,-0.0121554850984684,0.127329598074654,-0.093063953762577,0.590736685494902,-0.272547699005199,-0.408924529629315,-0.314090160589871
"AAAS.8086",0.160236419221591,0.464394530990634,-0.0278379854115529,-0.114001837422918,0.0291754289168598,0.21085400321812,-0.0402181666014238,-0.439902037892333,-0.0896748430265355,1,0.116895034878941,0.834225790337977,0.267924543786601,0.280004032028473,0.551675509649777,0.325250267314639,0.612836041851179,0.0854988507349794,0.834509353642665,0.428535220601052,0.565282049859887,0.697130916513132,0.660788658589221,-0.444351013403025,0.651917245575812,0.1704055469754,0.0923724792654138,-0.297809587027225,0.225919956799131,0.0646723634252002,0.247585168997739,-0.186022708992728,-0.35639724837683,-0.00413898835613862,-0.02374433303522,-0.122448237898914,-0.169156483621615,-0.167093233206503,0.200673308943326,0.0637358669625531,-0.275244198293528,0.335660285112113,-0.194526652331218,0.408549232131802,0.130001389218216,-0.245589779585849
